Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
128,Crystal Palace,2019-04-03,Tottenham,eng Premier League,L 0-2,0,2,-2,35,0,0,0,0,8,6,0,1,0,0,1,Match Report
129,Wolves,2019-04-02,Manchester Utd,eng Premier League,W 2-1,2,1,+1,49,1,0,0,0,17,13,1,1,0,2,0,Match Report
130,Fulham,2019-04-02,Watford,eng Premier League,L 1-4,1,4,-3,53,1,0,0,0,30,17,3,3,4,1,2,Match Report
131,Manchester Utd,2019-04-02,Wolves,eng Premier League,L 1-2,1,2,-1,51,1,0,0,0,33,24,2,3,3,1,0,Match Report
132,Watford,2019-04-02,Fulham,eng Premier League,W 4-1,4,1,+3,47,4,0,0,0,25,21,0,2,1,0,1,Match Report
133,Newcastle Utd,2019-04-01,Arsenal,eng Premier League,L 0-2,0,2,-2,30,0,0,0,0,3,2,0,1,0,0,0,Match Report
134,Arsenal,2019-04-01,Newcastle Utd,eng Premier League,W 2-0,2,0,+2,70,2,0,0,0,12,10,1,0,0,0,1,Match Report
135,Chelsea,2019-03-31,Cardiff City,eng Premier League,W 2-1,2,1,+1,70,2,0,0,0,39,29,2,3,1,2,2,Match Report
136,Cardiff City,2019-03-31,Chelsea,eng Premier League,L 1-2,1,2,-1,30,1,0,0,0,16,10,1,2,0,3,0,Match Report
137,Tottenham,2019-03-31,Liverpool,eng Premier League,L 1-2,1,2,-1,52,1,0,0,0,20,17,1,1,1,0,0,Match Report
138,Liverpool,2019-03-31,Tottenham,eng Premier League,W 2-1,2,1,+1,48,1,0,0,0,26,21,1,1,1,1,1,Match Report
139,Watford,2019-03-30,Manchester Utd,eng Premier League,L 1-2,1,2,-1,48,1,0,0,0,34,29,1,3,1,0,0,Match Report
140,Everton,2019-03-30,West Ham,eng Premier League,W 2-0,2,0,+2,51,2,0,0,0,31,20,3,4,3,0,1,Match Report
141,Leicester City,2019-03-30,Bournemouth,eng Premier League,W 2-0,2,0,+2,58,2,0,0,0,31,22,2,3,4,0,0,Match Report
142,Crystal Palace,2019-03-30,Huddersfield,eng Premier League,W 2-0,2,0,+2,49,1,1,1,0,32,23,2,2,3,2,0,Match Report
143,Manchester Utd,2019-03-30,Watford,eng Premier League,W 2-1,2,1,+1,52,2,0,0,0,13,9,2,0,1,0,1,Match Report
144,Southampton,2019-03-30,Brighton,eng Premier League,W 1-0,1,0,+1,40,1,0,0,0,13,11,1,1,0,0,0,Match Report
145,Manchester City,2019-03-30,Fulham,eng Premier League,W 2-0,2,0,+2,65,2,0,0,0,41,30,3,5,3,0,0,Match Report
146,Burnley,2019-03-30,Wolves,eng Premier League,W 2-0,2,0,+2,38,1,0,0,0,11,5,2,0,1,3,0,Match Report
147,Huddersfield,2019-03-30,Crystal Palace,eng Premier League,L 0-2,0,2,-2,51,0,0,0,0,27,17,1,6,1,2,0,Match Report
148,West Ham,2019-03-30,Everton,eng Premier League,L 0-2,0,2,-2,49,0,0,0,0,5,4,0,0,0,0,1,Match Report
149,Brighton,2019-03-30,Southampton,eng Premier League,L 0-1,0,1,-1,60,0,0,0,0,22,16,3,1,0,1,1,Match Report
150,Fulham,2019-03-30,Manchester City,eng Premier League,L 0-2,0,2,-2,35,0,0,0,0,9,6,1,0,0,2,0,Match Report
