Rk,Team,Date,Opp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Match Report
116,Leicester City,2022-04-23,Aston Villa,D 0-0,0,0,0,64,0,0,0,0,670,51,191,255,141,12,670,Match Report
117,Manchester City,2022-04-23,Watford,W 5-1,5,1,+4,73,4,1,1,0,841,36,127,255,252,47,840,Match Report
118,Brentford,2022-04-23,Tottenham,D 0-0,0,0,0,44,0,0,0,0,553,78,192,222,141,34,553,Match Report
119,Southampton,2022-04-21,Burnley,L 0-2,0,2,-2,56,0,0,0,0,647,56,206,255,170,17,647,Match Report
120,Burnley,2022-04-21,Southampton,W 2-0,2,0,+2,44,2,0,0,0,507,59,172,200,137,29,507,Match Report
121,Brighton,2022-04-20,Manchester City,L 0-3,0,3,-3,35,0,0,0,0,488,88,223,182,89,7,488,Match Report
122,Leicester City,2022-04-20,Everton,D 1-1,1,1,0,63,1,0,0,0,762,70,255,255,139,23,762,Match Report
123,Chelsea,2022-04-20,Arsenal,L 2-4,2,4,-2,67,2,0,0,0,849,63,219,255,234,28,849,Match Report
124,Manchester City,2022-04-20,Brighton,W 3-0,3,0,+3,65,3,0,0,0,812,57,217,255,240,31,812,Match Report
125,Arsenal,2022-04-20,Chelsea,W 4-2,4,2,+2,33,3,1,1,0,500,68,183,190,132,24,499,Match Report
126,Crystal Palace,2022-04-20,Newcastle Utd,L 0-1,0,1,-1,63,0,0,0,0,749,76,219,255,132,17,749,Match Report
127,Everton,2022-04-20,Leicester City,D 1-1,1,1,0,37,1,0,0,0,509,69,188,184,143,23,509,Match Report
128,Newcastle Utd,2022-04-20,Crystal Palace,W 1-0,1,0,+1,37,1,0,0,0,504,47,182,238,92,17,504,Match Report
129,Liverpool,2022-04-19,Manchester Utd,W 4-0,4,0,+4,71,4,0,0,0,1048,70,255,255,231,31,1048,Match Report
130,Manchester Utd,2022-04-19,Liverpool,L 0-4,0,4,-4,29,0,0,0,0,478,66,213,210,61,7,478,Match Report
