Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Match Report
89,Manchester Utd,2018-04-18,Bournemouth,eng Premier League,W 2-0,2,0,+2,55,2,0,0,0,715,71,209,255,174,34,715,Match Report
90,Bournemouth,2018-04-18,Manchester Utd,eng Premier League,L 0-2,0,2,-2,45,0,0,0,0,587,69,195,235,165,28,587,Match Report
91,Brighton,2018-04-17,Tottenham,eng Premier League,D 1-1,1,1,0,37,0,1,1,0,520,81,221,204,98,9,519,Match Report
92,Tottenham,2018-04-17,Brighton,eng Premier League,D 1-1,1,1,0,63,1,0,0,0,789,49,186,255,204,26,789,Match Report
93,Stoke City,2018-04-16,West Ham,eng Premier League,D 1-1,1,1,0,37,1,0,0,0,461,89,188,185,93,17,461,Match Report
94,West Ham,2018-04-16,Stoke City,eng Premier League,D 1-1,1,1,0,63,1,0,0,0,647,37,153,255,234,35,647,Match Report
95,Arsenal,2018-04-15,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,71,1,0,0,0,848,54,214,255,207,23,848,Match Report
96,Newcastle Utd,2018-04-15,Arsenal,eng Premier League,W 2-1,2,1,+1,29,2,0,0,0,423,53,166,181,81,14,423,Match Report
97,Manchester Utd,2018-04-15,West Brom,eng Premier League,L 0-1,0,1,-1,70,0,0,0,0,890,35,159,255,255,28,890,Match Report
98,West Brom,2018-04-15,Manchester Utd,eng Premier League,W 1-0,1,0,+1,30,1,0,0,0,452,76,186,199,76,9,452,Match Report
99,Manchester City,2018-04-14,Tottenham,eng Premier League,W 3-1,3,1,+2,52,2,1,1,0,669,93,255,255,111,24,668,Match Report
100,Swansea City,2018-04-14,Everton,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,621,52,164,255,181,35,621,Match Report
101,Huddersfield,2018-04-14,Watford,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,533,56,124,253,159,16,533,Match Report
102,Everton,2018-04-14,Swansea City,eng Premier League,D 1-1,1,1,0,49,0,0,0,0,621,84,251,245,130,17,621,Match Report
103,Brighton,2018-04-14,Crystal Palace,eng Premier League,L 2-3,2,3,-1,51,2,0,0,0,514,47,169,220,131,19,514,Match Report
