Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Match Report
56,Cardiff City,2019-04-27,Fulham,eng Premier League,L 0-1,0,1,-1,29,0,0,0,0,161,268,60.1,12,26,4,3,29,3393,1920,71,92,77.2,47,70,67.1,35,79,44.3,Match Report
57,Wolves,2019-04-27,Watford,eng Premier League,W 2-1,2,1,+1,44,2,0,0,0,314,433,72.5,7,14,8,1,27,5820,2222,130,150,86.7,115,146,78.8,47,86,54.7,Match Report
58,Brighton,2019-04-27,Newcastle Utd,eng Premier League,D 1-1,1,1,0,50,1,0,0,0,410,526,77.9,7,36,10,5,44,7225,2531,200,217,92.2,147,177,83.1,50,94,53.2,Match Report
59,Liverpool,2019-04-26,Huddersfield,eng Premier League,W 5-0,5,0,+5,69,5,0,0,0,667,772,86.4,18,34,13,2,56,11032,3775,314,347,90.5,299,326,91.7,41,69,59.4,Match Report
60,Huddersfield,2019-04-26,Liverpool,eng Premier League,L 0-5,0,5,-5,31,0,0,0,0,230,341,67.4,4,13,3,0,12,3854,1863,113,143,79.0,80,100,80.0,24,64,37.5,Match Report
61,Manchester City,2019-04-24,Manchester Utd,eng Premier League,W 2-0,2,0,+2,63,2,0,0,0,631,733,86.1,7,36,11,0,47,9741,3053,338,368,91.8,220,245,89.8,45,73,61.6,Match Report
62,Arsenal,2019-04-24,Wolves,eng Premier League,L 1-3,1,3,-2,70,1,0,0,0,642,734,87.5,9,46,10,1,68,10545,3116,300,328,91.5,254,274,92.7,50,70,71.4,Match Report
63,Wolves,2019-04-24,Arsenal,eng Premier League,W 3-1,3,1,+2,30,3,0,0,0,230,312,73.7,8,12,5,2,14,3920,1695,114,128,89.1,65,87,74.7,31,62,50.0,Match Report
64,Manchester Utd,2019-04-24,Manchester City,eng Premier League,L 0-2,0,2,-2,37,0,0,0,0,339,437,77.6,10,21,6,0,27,5905,2167,156,183,85.2,135,155,87.1,35,71,49.3,Match Report
65,Southampton,2019-04-23,Watford,eng Premier League,D 1-1,1,1,0,38,1,0,0,0,259,394,65.7,4,27,6,2,28,4765,2030,126,154,81.8,95,129,73.6,33,88,37.5,Match Report
